fs,base,shell
"file_chmod(""path"", ""mode"")","Sys.chmod(""path"", ""mode"")",chmod mode path
"file_chown(""path"", ""user_id"", ""group_id"")",No direct equivalent,chown options path
"file_copy(""path"", ""new-path"")","file.copy(""path"", ""new-path"")",cp path new-path
"file_create(""new-path"")","file.create(""new-path"")",touch new-path
"file_delete(""path"")","unlink(""path"")",rm path
"file_exists(""path"")","file.exists(""path"")","if [ -f ""path"" ]; then ... ; fi"
"file_info(""path"")","file.info(""path"")",ls -al path
"file_move(""path"", ""new-path"")","file.rename(""path"", ""new-path"")",mv path new-path
"file_show(""path"")","browseURL(""path"")",open path
file_touch(),No direct equivalent,touch path
file_temp(),tempfile(),mktemp
file_test(),No direct equivalent,"if [ -d ""path"" ]; then ...; fi"
